,City,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date
87,Lüderitz,-26.6481,15.1594,59.61,68,15.5,0,NA,1599436800
88,Nome,64.5011,-165.4064,53.24,52,22.73,87,US,1599436800
89,Saint Paul Harbor,57.79,-152.4072,54.9,95,25.28,95,US,1599436800
90,Meulaboh,4.1363,96.1285,75.16,78,3.51,85,ID,1599436800
91,Brewster,41.3973,-73.6171,70.39,64,2.46,65,US,1599436800
92,Vao,-22.6667,167.4833,71.04,79,16.67,100,NC,1599436800
93,Gornopravdinsk,60.05,69.9,46.24,95,6.6,99,RU,1599436800
94,Maraã,-1.8333,-65.3667,86.22,61,0.72,62,BR,1599436800
95,Asău,46.4333,26.4,61.12,82,2.15,0,RO,1599436800
96,Mahébourg,-20.4081,57.7,70.27,89,9.82,80,MU,1599436800
97,Busselton,-33.65,115.3333,54.57,65,18.99,16,AU,1599436800
98,Arrecife,28.963,-13.5477,73.47,83,10.31,11,ES,1599436800
99,Thompson,55.7435,-97.8558,45.68,61,12.24,74,CA,1599436800
100,Mitú,1.1983,-70.1733,81.54,72,2.44,90,CO,1599436800
101,Vanimo,-2.6741,141.3028,85.19,72,7.7,64,PG,1599436800
102,Il’inskiy,55.619,38.1182,59.54,76,5.48,96,RU,1599436800
103,Isla Vista,34.4133,-119.861,101.86,27,8.48,1,US,1599436800
104,Sambava,-14.2667,50.1667,66.07,79,8.52,0,MG,1599436800
105,Roald,62.5833,6.1333,54.77,85,12.53,23,NO,1599436800
106,İskenderun,36.5872,36.1735,77.49,63,2.48,10,TR,1599436800
107,Kabinda,-6.1333,24.4833,72.5,65,3.49,83,CD,1599436800
108,Buala,-8.145,159.5921,85.1,72,7.16,26,SB,1599436800
109,Port Jervis,41.3751,-74.6927,68.11,70,2.17,58,US,1599436800
110,Saskylakh,71.9167,114.0833,44.06,79,5.66,62,RU,1599436800
111,Palana,59.1167,159.9667,49.35,71,4.68,99,RU,1599436800
112,Provideniya,64.3833,-173.3,43.61,71,17.29,87,RU,1599436800
113,Cayenne,4.9333,-52.3333,81.27,77,11.52,21,GF,1599436800
114,Bambous Virieux,-20.3428,57.7575,70.12,90,10.07,82,MU,1599436800
115,Hermanus,-34.4187,19.2345,54.77,83,10.67,4,ZA,1599436800
116,Airai,-8.9266,125.4092,69.42,47,5.59,15,TL,1599436800
117,Cividale del Friuli,46.0931,13.4275,64.2,90,5.01,12,IT,1599436800
118,Zhezkazgan,47.8043,67.7144,49.26,48,8.1,72,KZ,1599436800
119,Lubao,14.9167,120.55,81.14,83,1.72,87,PH,1599436800
120,Tazovsky,67.4667,78.7,47.08,92,5.32,96,RU,1599436800
121,Lagoa,39.05,-27.9833,68.61,75,23.91,66,PT,1599436800
122,Oranjemund,-28.55,16.4333,56.84,82,12.91,0,NA,1599436800
123,Henties Bay,-22.116,14.2845,55.45,90,6.8,0,NA,1599436800
124,Amapá,1.0,-52.0,78.4,81,3.38,41,BR,1599436800
125,Faya,18.3851,42.4509,68.58,26,4.85,0,SA,1599436800
126,Cabedelo,-6.9811,-34.8339,73.9,82,13.38,5,BR,1599436800
127,Mareeba,-17.0,145.4333,75.81,67,8.61,77,AU,1599436800
128,Vila Velha,-20.3297,-40.2925,74.23,83,12.15,0,BR,1599436800
129,Salekhard,66.53,66.6019,49.23,62,5.59,94,RU,1599436800
130,Alofi,-19.0595,-169.9187,74.5,62,23.47,73,NU,1599436800
131,Karratha,-20.7377,116.8463,70.92,74,10.27,26,AU,1599436800
132,Arkhara,49.4212,130.0842,63.28,91,1.72,15,RU,1599436800
133,Arraial do Cabo,-22.9661,-42.0278,72.57,84,19.01,0,BR,1599436800
134,Iskateley,67.6803,53.1512,56.84,83,8.48,100,RU,1599436800
135,Laguna,38.421,-121.4238,115.3,11,6.29,1,US,1599436800
136,Jamestown,42.097,-79.2353,63.36,73,2.24,31,US,1599436800
137,Carnarvon,-24.8667,113.6333,69.98,82,2.64,69,AU,1599436800
138,Fairbanks,64.8378,-147.7164,62.82,44,10.74,30,US,1599436800
139,Bandarbeyla,9.4942,50.8122,75.7,79,26.04,79,SO,1599436800
140,Dordrecht,51.81,4.6736,54.97,87,4.92,13,NL,1599436800
141,Souillac,-20.5167,57.5167,70.43,87,8.52,77,MU,1599436800
142,Charagua,-19.8,-63.2167,71.98,47,9.15,89,BO,1599436800
143,Dicabisagan,17.0818,122.4157,83.44,77,4.79,100,PH,1599436800
144,Atuona,-9.8,-139.0333,78.82,73,17.58,81,PF,1599436800
145,Bosaso,11.2842,49.1816,89.33,56,11.21,16,SO,1599436800
146,Barrow,71.2906,-156.7887,43.74,81,8.99,85,US,1599436800
147,Meadow Lake,34.8014,-106.5436,90.81,14,2.17,10,US,1599436800
148,Kavaratti,10.5669,72.642,82.67,79,24.9,100,IN,1599436800
149,Xining,36.6167,101.7667,53.69,68,2.19,0,CN,1599436800
150,Mwinilunga,-11.7358,24.4293,56.97,36,4.99,0,ZM,1599436800
151,Nara,34.6851,135.8049,89.06,73,13.94,57,JP,1599436800
152,Teknāf,20.8624,92.3058,80.22,79,2.66,100,BD,1599436800
153,Saint George,37.1041,-113.5841,108.45,6,14.38,10,US,1599436800
154,Hasaki,35.7333,140.8333,84.51,83,14.83,67,JP,1599436800
155,Husavik,66.0449,-17.3389,53.49,77,10.85,78,IS,1599436800
156,Hobart,-42.8794,147.3294,62.87,54,9.55,67,AU,1599436800
157,Paraúna,-16.9478,-50.4486,80.46,22,2.37,4,BR,1599436800
158,Srednekolymsk,67.45,153.6833,51.91,75,2.44,100,RU,1599436800
159,Wurzen,51.3667,12.7333,53.26,71,3.0,49,DE,1599436800
160,Broome,42.2506,-75.833,64.54,69,2.66,9,US,1599436800
161,Romny,50.751,33.4747,64.15,47,5.82,95,UA,1599436800
162,East London,-33.0153,27.9116,62.78,83,2.04,96,ZA,1599436800
163,Upernavik,72.7868,-56.1549,36.41,83,12.48,97,GL,1599436800
164,Morehead,37.2711,-87.1764,76.33,69,7.72,45,US,1599436800
165,Hudson Bay,52.85,-102.3842,51.8,60,8.59,76,CA,1599436800
166,Ardeşen,41.1911,40.9875,73.56,84,3.38,53,TR,1599436800
167,Zyryanka,65.75,150.85,46.65,91,15.57,100,RU,1599436800
168,Cache Creek,50.8101,-121.3246,79.03,34,8.41,74,CA,1599436800
169,Koudougou,12.25,-2.3667,73.89,90,4.85,84,BF,1599436800
170,Faanui,-16.4833,-151.75,78.19,77,10.96,44,PF,1599436800
171,Hambantota,6.1241,81.1185,79.79,78,18.59,95,LK,1599436800
172,Havøysund,70.9963,24.6622,48.78,92,20.76,87,NO,1599436800
173,Lubango,-14.9172,13.4925,59.65,62,4.34,5,AO,1599436800
174,Carballo,43.213,-8.691,59.56,79,11.21,10,ES,1599436800
175,Bara,10.3744,10.7288,73.98,93,6.35,99,NG,1599436800
176,New Castle,41.0037,-80.347,70.79,56,5.64,25,US,1599436800
177,San Patricio,19.2167,-104.7,86.83,73,5.66,77,MX,1599436800
178,Camacha,33.0833,-16.3333,70.68,81,3.6,10,PT,1599436800
179,Chapada dos Guimarães,-15.4606,-55.7497,87.48,16,3.09,0,BR,1599436800
180,Outlook,51.5001,-107.0513,60.76,37,15.37,96,CA,1599436800
181,Tasiilaq,65.6145,-37.6368,35.62,92,3.83,78,GL,1599436800
182,Severo-Kuril'sk,50.6789,156.125,57.58,90,5.7,100,RU,1599436800
183,Tuktoyaktuk,69.4541,-133.0374,45.21,64,6.31,11,CA,1599436800
184,Province of Mantua,45.1667,10.7833,67.12,87,1.95,0,IT,1599436800
185,Pangnirtung,66.1451,-65.7125,40.75,70,2.24,58,CA,1599436800
186,Bwanga,-3.0308,31.7601,71.98,65,4.65,100,TZ,1599436800
187,Acapulco de Juárez,16.8634,-99.8901,82.02,79,4.76,94,MX,1599436800
188,Vila Franca do Campo,37.7167,-25.4333,67.87,77,16.44,63,PT,1599436800
189,Hilo,19.7297,-155.09,80.83,60,7.7,10,US,1599436800
190,El Alto,-4.2714,-81.2147,64.72,77,16.82,1,PE,1599436800
191,Ilulissat,69.2167,-51.1,35.47,90,5.99,100,GL,1599436800
192,Mulegé,26.8833,-111.9833,94.15,51,8.28,0,MX,1599436800
193,San Vicente,-26.6167,-54.1333,69.01,79,6.22,88,AR,1599436800
194,Hobyo,5.3505,48.5268,76.14,82,20.92,4,SO,1599436800
195,Tilichiki,60.4667,166.1,47.84,73,4.65,96,RU,1599436800
196,Kaitangata,-46.2817,169.8464,53.78,62,5.14,27,NZ,1599436800
197,Hīt,33.6416,42.8251,92.5,12,12.57,0,IQ,1599436800
198,Beloha,-25.1667,45.05,62.65,80,12.5,0,MG,1599436800
199,Mount Isa,-20.7333,139.5,78.98,37,18.84,0,AU,1599436800
200,Constitución,-35.3333,-72.4167,54.77,74,8.88,1,CL,1599436800
201,Inírida,3.8653,-67.9239,82.35,73,2.37,95,CO,1599436800
202,Dingle,10.9995,122.6711,82.71,83,0.34,44,PH,1599436800
203,Bubaque,11.2833,-15.8333,79.88,83,18.81,100,GW,1599436800
204,Tezu,27.9167,96.1667,75.56,77,2.13,100,IN,1599436800
205,Kuytun,54.3419,101.5036,46.83,83,11.9,71,RU,1599436800
206,Chapais,49.7834,-74.8492,51.66,71,4.52,57,CA,1599436800
207,Cooma,-36.2333,149.1333,57.22,76,8.48,0,AU,1599436800
208,Sinnamary,5.3833,-52.95,79.77,87,10.22,70,GF,1599436800
209,Wonthaggi,-38.6044,145.5913,58.66,57,14.03,40,AU,1599436800
210,Los Llanos de Aridane,28.6585,-17.9182,71.69,81,3.67,11,ES,1599436800
211,Nouadhibou,20.931,-17.0347,81.05,64,16.93,100,MR,1599436800
212,Vangaindrano,-23.35,47.6,60.84,82,6.44,44,MG,1599436800
213,Rio Grande,-32.035,-52.0986,56.46,82,13.2,100,BR,1599436800
214,Kiyasovo,56.3491,53.1244,49.17,88,3.09,59,RU,1599436800
215,Smoky Lake,54.1169,-112.4686,52.38,74,8.72,100,CA,1599436800
216,Payo,-3.7508,103.6372,74.53,87,1.32,98,ID,1599436800
217,College,64.8569,-147.8028,62.53,44,10.71,29,US,1599436800
218,Baiyin,36.5583,104.2081,65.84,66,1.57,2,CN,1599436800
219,Butaritari,3.0707,172.7902,83.75,73,16.91,100,KI,1599436800
220,Ierapetra,35.01,25.7353,74.91,58,4.7,0,GR,1599436800
221,Kismayo,-0.3582,42.5454,76.46,79,14.2,0,SO,1599436800
222,Palmer,42.1584,-72.3287,69.06,56,4.25,44,US,1599436800
223,Tomatlán,19.9333,-105.25,86.05,69,3.78,83,MX,1599436800
224,Waddān,29.1614,16.139,77.49,52,10.8,0,LY,1599436800
225,Punta Gorda,26.9298,-82.0454,81.86,74,5.17,58,US,1599436800
226,Jieznas,54.6,24.1667,51.13,89,5.5,71,LT,1599436800
227,Leningradskiy,69.3833,178.4167,45.66,62,9.1,3,RU,1599436800
228,Christchurch,-43.5333,172.6333,54.01,63,4.54,0,NZ,1599436800
229,Anda,46.4,125.3167,66.16,91,8.75,75,CN,1599436800
230,Lata,40.1629,-8.3327,69.12,71,1.77,0,PT,1599436800
231,Tiarei,-17.5333,-149.3333,81.12,70,4.97,54,PF,1599436800
232,Irituia,-1.7711,-47.4381,79.54,75,5.84,52,BR,1599436800
233,Choix,26.7092,-108.3219,95.0,44,6.64,0,MX,1599436800
234,Richards Bay,-28.783,32.0377,63.82,83,7.45,71,ZA,1599436800
235,Isoka,-10.1606,32.6335,54.03,72,1.95,21,ZM,1599436800
236,Nikolskoye,59.7035,30.7861,51.01,89,4.76,2,RU,1599436800
237,Viedma,-40.8135,-62.9967,53.29,52,6.55,0,AR,1599436800
238,Southbridge,42.0751,-72.0334,68.0,69,4.99,73,US,1599436800
239,Manono,-7.3,27.4167,76.05,31,2.46,89,CD,1599436800
240,Linqiong,30.4159,103.4609,73.38,83,1.52,11,CN,1599436800
241,Lixouri,38.2019,20.4314,72.37,67,5.14,0,GR,1599436800
242,Guerrero Negro,27.9769,-114.0611,93.9,38,14.38,0,MX,1599436800
243,Yeppoon,-23.1333,150.7333,71.69,71,16.93,31,AU,1599436800
244,Iqaluit,63.7506,-68.5145,46.8,53,1.25,87,CA,1599436800
245,Mizdah,31.4451,12.9801,75.11,66,15.93,60,LY,1599436800
246,Clyde River,70.4692,-68.5914,38.44,71,12.55,20,CA,1599436800
247,Aska,19.6061,84.6725,79.09,90,0.83,64,IN,1599436800
248,Corrente,-3.7367,-43.3394,80.82,49,5.46,52,BR,1599436800
249,Agirish,61.9247,63.0231,44.67,93,3.15,0,RU,1599436800
250,Pangkalanbuun,-2.6833,111.6167,77.31,95,1.23,100,ID,1599436800
251,Codrington,-38.2667,141.9667,60.55,58,22.19,16,AU,1599436800
252,Çorum Province,40.5,34.75,57.69,88,3.09,0,TR,1599436800
253,Stykkisholmur,65.0757,-22.7297,49.98,91,12.53,98,IS,1599436800
254,Oranjestad,12.524,-70.027,84.76,76,21.27,10,AW,1599436800
255,Biak,-0.9131,122.8766,76.69,87,8.41,94,ID,1599436800
256,Lebu,-37.6167,-73.65,50.94,83,9.86,0,CL,1599436800
257,Half Moon Bay,37.4636,-122.4286,86.74,36,10.78,1,US,1599436800
258,Harpanahalli,14.8,75.9833,72.43,92,6.06,46,IN,1599436800
259,Birjand,32.8663,59.2211,62.15,28,11.45,0,IR,1599436800
260,Narsaq,60.9167,-46.05,44.44,90,3.56,98,GL,1599436800
261,Poum,-20.2333,164.0167,73.49,77,5.91,100,NC,1599436800
262,Zhanakorgan,43.9098,67.2495,56.52,37,10.83,0,KZ,1599436800
263,Champerico,14.3,-91.9167,82.69,84,6.73,75,GT,1599436800
264,Port Hardy,50.6996,-127.4199,63.54,83,16.24,82,CA,1599436800
265,Bisert',56.8617,59.0523,47.37,95,5.01,43,RU,1599436800
266,Verkhnevilyuysk,63.4453,120.3167,47.73,85,3.94,9,RU,1599436800
267,Wawa,9.9022,4.4192,73.35,91,3.91,71,NG,1599436800
268,Cockburn Town,21.4612,-71.1419,83.68,75,15.14,31,TC,1599436800
269,Sitka,57.0531,-135.33,64.94,59,1.66,46,US,1599436800
270,Flinders,-34.5833,150.8552,64.44,69,11.01,0,AU,1599436800
271,Saint-Philippe,-21.3585,55.7679,70.41,74,9.89,41,RE,1599436800
272,Guarujá,-23.9931,-46.2564,72.61,90,4.05,1,BR,1599436800
273,Quatre Cocos,-20.2078,57.7625,69.98,90,10.69,85,MU,1599436800
274,Perivoli,39.4206,20.0147,75.42,61,4.5,0,GR,1599436800
275,Muros,42.7762,-9.0603,62.91,73,13.62,2,ES,1599436800
276,Camopi,3.1655,-52.3158,77.0,91,3.13,14,GF,1599436800
277,Saldanha,-33.0117,17.9442,57.94,76,6.55,0,ZA,1599436800
278,Hūn,29.1268,15.9477,78.33,48,9.4,0,LY,1599436800
279,Yarega,63.4354,53.5765,51.12,94,4.43,42,RU,1599436800
280,Odoyev,53.9393,36.6864,60.01,64,5.59,85,RU,1599436800
281,Derzhavīnsk,51.1,66.3167,49.86,72,10.58,25,KZ,1599436800
282,Rosario,-32.9468,-60.6393,56.53,65,6.31,0,AR,1599436800
283,Pevek,69.7008,170.3133,43.86,71,15.32,0,RU,1599436800
284,Horki,54.2861,30.9842,59.99,97,6.67,100,BY,1599436800
285,Porbandar,21.6422,69.6093,82.2,84,8.37,46,IN,1599436800
286,Rundu,-17.9333,19.7667,61.48,32,4.61,0,NA,1599436800
287,Ndélé,8.4109,20.6473,69.6,97,2.28,100,CF,1599436800
288,Vostok,46.4856,135.8833,67.57,73,2.64,100,RU,1599436800
289,Sisimiut,66.9395,-53.6735,40.1,71,14.63,20,GL,1599436800
290,Ubon Ratchathani,15.2248,104.8529,78.93,93,5.68,45,TH,1599436800
291,Qaqortoq,60.7167,-46.0333,43.83,93,4.83,95,GL,1599436800
292,Sirsi,14.6167,74.85,70.72,100,2.04,75,IN,1599436800
293,Chontalpa,17.7,-93.5167,80.85,87,7.85,96,MX,1599436800
294,Dekar,-21.5333,21.9333,61.21,32,8.32,0,BW,1599436800
295,Jilib,0.4883,42.7854,72.77,86,3.96,12,SO,1599436800
296,Broken Hill,-31.95,141.4333,68.88,36,18.48,0,AU,1599436800
297,Adrar,20.5022,-10.0711,92.77,34,6.44,24,MR,1599436800
298,Noyon,49.5833,3.0,52.36,86,3.76,36,FR,1599436800
299,Ovsyanka,55.9575,92.5519,47.5,93,1.5,98,RU,1599436800
300,Port-Gentil,-0.7193,8.7815,76.66,77,10.02,36,GA,1599436800
301,Danané,7.2596,-8.155,70.2,97,2.55,82,CI,1599436800
302,Bambanglipuro,-7.95,110.2833,77.65,84,9.91,98,ID,1599436800
303,Arman',59.7,150.1667,51.91,76,3.06,99,RU,1599436800
304,San Miguel de Tucumán,-26.8241,-65.2226,59.2,68,2.48,95,AR,1599436800
305,Ciudad del Maíz,22.4,-99.6,69.44,81,3.36,97,MX,1599436800
306,Talnakh,69.4865,88.3972,49.03,82,1.9,70,RU,1599436800
307,Paraguarí,-25.6208,-57.1472,70.95,70,9.51,64,PY,1599436800
308,Northam,51.0333,-4.2167,56.03,87,4.61,82,GB,1599436800
309,Kahului,20.8947,-156.47,81.77,54,16.42,35,US,1599436800
310,Karia,11.7306,11.1629,73.65,84,4.18,100,NG,1599436800
311,Mahibadhoo,3.7833,72.9667,82.22,74,10.98,100,MV,1599436800
312,Zárate,-34.0981,-59.0286,48.92,48,6.53,0,AR,1599436800
313,Nyurba,63.2842,118.3319,47.73,86,4.47,39,RU,1599436800
314,Namatanai,-3.6667,152.4333,84.31,75,6.98,8,PG,1599436800
315,Moose Factory,51.2585,-80.6094,56.73,63,12.44,95,CA,1599436800
316,Shingū,33.7333,135.9833,79.74,90,15.88,95,JP,1599436800
317,Saint-Augustin,51.226,-58.6502,58.05,64,8.86,25,CA,1599436800
318,Santa Ana,33.7456,-117.8678,104.83,18,7.61,1,US,1599436800
319,Avarua,-21.2078,-159.775,72.16,65,17.6,19,CK,1599436800
320,Boa Vista,2.8197,-60.6733,81.32,73,4.5,79,BR,1599436800
321,Kinshasa,-4.3246,15.3215,77.27,70,4.97,59,CD,1599436800
322,Pringsewu,-5.3582,104.9744,75.72,92,2.21,68,ID,1599436800
323,Verkhoyansk,67.5447,133.385,48.4,74,11.61,100,RU,1599436800
324,Bagdarin,54.4333,113.6,56.08,84,0.56,100,RU,1599436800
325,Wewak,-3.5534,143.6268,83.14,79,8.68,32,PG,1599436800
326,Aykhal,66.0,111.5,43.93,85,5.55,93,RU,1599436800
327,Pochutla,15.7432,-96.4661,79.9,81,5.12,82,MX,1599436800
328,Evensk,61.95,159.2333,49.48,74,8.57,99,RU,1599436800
329,Adwa,14.1646,38.8955,60.71,76,1.83,0,ET,1599436800
330,Bilma,18.6853,12.9164,94.33,20,7.36,10,NE,1599436800
331,Maragogi,-9.0122,-35.2225,73.24,77,8.05,0,BR,1599436800
332,São João da Barra,-21.6403,-41.0511,73.42,84,18.37,23,BR,1599436800
333,Bluefield,37.2698,-81.2223,66.38,59,0.94,20,US,1599436800
334,Pierreville,46.0703,-72.8112,61.7,69,8.55,46,CA,1599436800
335,Sovetskiy,61.3614,63.5842,44.38,88,4.27,0,RU,1599436800
336,Coyhaique,-45.5752,-72.0662,44.42,72,2.37,46,CL,1599436800
337,Oistins,13.0667,-59.5333,81.95,74,11.43,30,BB,1599436800
338,Hefei,31.8639,117.2808,76.19,83,6.15,0,CN,1599436800
339,Olafsvik,64.8945,-23.7142,50.34,91,20.58,98,IS,1599436800
340,Posyet,42.6508,130.8046,63.45,85,11.43,100,RU,1599436800
341,Umluj,25.0213,37.2685,90.61,45,6.62,0,SA,1599436800
342,Pinheiro,-2.5214,-45.0825,77.63,76,3.53,63,BR,1599436800
343,Tabuk,17.4189,121.4443,79.77,82,0.65,91,PH,1599436800
344,Altay,47.8667,88.1167,55.92,59,2.42,100,CN,1599436800
345,Vitim,59.4511,112.5578,55.26,89,5.86,100,RU,1599436800
346,Ekuvukeni,-28.4675,30.1551,54.14,67,1.25,72,ZA,1599436800
347,Jishu,44.3167,126.8,66.25,86,8.43,100,CN,1599436800
348,Kumul,42.8,93.45,72.16,22,2.3,53,CN,1599436800
349,Takoradze,4.8845,-1.7554,75.15,87,8.93,42,GH,1599436800
350,Quesnel,52.9999,-122.5029,68.77,64,12.39,83,CA,1599436800
351,Labuhan,-6.8844,112.2051,79.09,80,9.42,51,ID,1599436800
352,Ghanzi,-21.5667,21.7833,61.3,32,9.31,0,BW,1599436800
353,Caluquembe,-13.7833,14.6833,56.8,81,1.97,2,AO,1599436800
354,Luena,-11.7833,19.9167,61.45,32,2.84,0,AO,1599436800
355,São Gabriel da Cachoeira,-0.1303,-67.0892,84.11,67,0.85,69,BR,1599436800
356,Port Blair,11.6667,92.75,82.08,82,7.96,100,IN,1599436800
357,Tura,25.5198,90.2201,74.07,98,4.72,100,IN,1599436800
